,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Destiny,0.787,0.687,7.0,-7.468,0.0,0.106,0.75,0.0,0.3,0.884,113.962,audio_features,0hgLHFyN9u3WqkK2ofpuUX,spotify:track:0hgLHFyN9u3WqkK2ofpuUX,https://api.spotify.com/v1/tracks/0hgLHFyN9u3WqkK2ofpuUX,https://api.spotify.com/v1/audio-analysis/0hgLHFyN9u3WqkK2ofpuUX,213087.0,4.0
1,The Truth,0.496,0.577,9.0,-5.305,1.0,0.0257,0.234,2.4e-06,0.109,0.381,143.014,audio_features,25rV6ArwFMht49oONoqSLQ,spotify:track:25rV6ArwFMht49oONoqSLQ,https://api.spotify.com/v1/tracks/25rV6ArwFMht49oONoqSLQ,https://api.spotify.com/v1/audio-analysis/25rV6ArwFMht49oONoqSLQ,238413.0,4.0
2,Digital Love,0.644,0.664,9.0,-8.398,1.0,0.0332,0.048,0.867,0.342,0.53,124.726,audio_features,2VEZx7NWsZ1D0eJ4uv5Fym,spotify:track:2VEZx7NWsZ1D0eJ4uv5Fym,https://api.spotify.com/v1/tracks/2VEZx7NWsZ1D0eJ4uv5Fym,https://api.spotify.com/v1/audio-analysis/2VEZx7NWsZ1D0eJ4uv5Fym,301373.0,4.0
3,Fall,0.657,0.734,8.0,-4.832,0.0,0.484,0.149,0.0,0.139,0.434,91.03,audio_features,5SkRLpaGtvYPhw02vZhQQ9,spotify:track:5SkRLpaGtvYPhw02vZhQQ9,https://api.spotify.com/v1/tracks/5SkRLpaGtvYPhw02vZhQQ9,https://api.spotify.com/v1/audio-analysis/5SkRLpaGtvYPhw02vZhQQ9,223507.0,4.0
4,Finale,0.582,0.831,0.0,-3.644,1.0,0.0494,0.457,0.000339,0.17,0.722,147.981,audio_features,1fvc8FP8MUrIbHGYb4kF89,spotify:track:1fvc8FP8MUrIbHGYb4kF89,https://api.spotify.com/v1/tracks/1fvc8FP8MUrIbHGYb4kF89,https://api.spotify.com/v1/audio-analysis/1fvc8FP8MUrIbHGYb4kF89,95493.0,4.0
5,Harder Better Faster Stronger,0.817,0.716,6.0,-8.898,0.0,0.144,0.0427,0.00263,0.358,0.692,123.474,audio_features,5W3cjX2J3tjhG8zb6u0qHn,spotify:track:5W3cjX2J3tjhG8zb6u0qHn,https://api.spotify.com/v1/tracks/5W3cjX2J3tjhG8zb6u0qHn,https://api.spotify.com/v1/audio-analysis/5W3cjX2J3tjhG8zb6u0qHn,224693.0,4.0
6,Nocturne,0.395,0.0072,2.0,-33.592,0.0,0.0512,0.992,0.937,0.0809,0.078,68.943,audio_features,1Adj3T1K0UjPGVtmwfhTCL,spotify:track:1Adj3T1K0UjPGVtmwfhTCL,https://api.spotify.com/v1/tracks/1Adj3T1K0UjPGVtmwfhTCL,https://api.spotify.com/v1/audio-analysis/1Adj3T1K0UjPGVtmwfhTCL,468941.0,3.0
7,Oh Yeah,0.711,0.696,5.0,-6.927,0.0,0.0515,0.00885,2.15e-05,0.0755,0.734,110.904,audio_features,1jas4QjqGPF9jIYukRMKke,spotify:track:1jas4QjqGPF9jIYukRMKke,https://api.spotify.com/v1/tracks/1jas4QjqGPF9jIYukRMKke,https://api.spotify.com/v1/audio-analysis/1jas4QjqGPF9jIYukRMKke,169643.0,4.0
8,Overture,0.312,0.157,3.0,-16.524,1.0,0.0413,0.981,0.898,0.146,0.0756,87.342,audio_features,4szYzFwso8Hkukyjpg6ueE,spotify:track:4szYzFwso8Hkukyjpg6ueE,https://api.spotify.com/v1/tracks/4szYzFwso8Hkukyjpg6ueE,https://api.spotify.com/v1/audio-analysis/4szYzFwso8Hkukyjpg6ueE,412173.0,4.0
9,Something About Us,0.875,0.475,9.0,-12.673,0.0,0.0986,0.44,0.72,0.046,0.384,99.958,audio_features,1NeLwFETswx8Fzxl2AFl91,spotify:track:1NeLwFETswx8Fzxl2AFl91,https://api.spotify.com/v1/tracks/1NeLwFETswx8Fzxl2AFl91,https://api.spotify.com/v1/audio-analysis/1NeLwFETswx8Fzxl2AFl91,232667.0,4.0
